0.0001	-26359.4
0.0011	-26359.7
0.0021	-26359.7
0.0031	-26359.7
0.0041	-26359.7
0.0051	-26359.7
0.0061	-26359.7
0.0071	-26359.7
0.0081	-26359.7
0.0091	-26359.7
0.0101	-26359.7
0.0111	-26359.7
0.0121	-26359.7
0.0131	-26359.7
0.0141	-26359.7
0.0151	-26359.7
0.0161	-26359.7
0.0171	-26359.7
0.0181	-26359.7
0.0191	-26359.7
0.0201	-26359.7
0.0211	-26359.7
0.0221	-26359.7
0.0231	-26359.7
0.0241	-26359.7
0.0251	-26359.7
0.0261	-26359.7
0.0271	-26359.7
0.0281	-26359.7
0.0291	-26359.7
0.0301	-26359.7
0.0311	-26359.7
0.0321	-26359.7
0.0331	-26359.7
0.0341	-26359.7
0.0351	-26359.7
0.0361	-26359.7
0.0371	-26359.7
0.0381	-26359.7
0.0391	-26359.7
0.0401	-26359.7
0.0411	-26359.7
0.0421	-26359.7
0.0431	-26359.7
0.0441	-26359.7
0.0451	-26359.7
0.0461	-26359.7
0.0471	-26359.7
0.0481	-26359.7
0.0491	-26359.7
0.0501	-26359.7
0.0511	-26359.7
0.0521	-26359.7
0.0531	-26359.7
0.0541	-26359.7
0.0551	-26359.7
0.0561	-26359.7
0.0571	-26359.7
0.0581	-26359.7
0.0591	-26359.7
0.0601	-26359.7
0.0691	-26359.7
0.0701	-26359.7
0.0711	-26359.7
0.0721	-26359.7
0.0731	-26359.7
0.0741	-26359.7
0.0751	-26359.7
0.0761	-26359.7
0.0771	-26359.7
0.0781	-26359.7
0.0791	-26359.7
0.0801	-26359.7
0.0811	-26359.7
0.0821	-26359.7
0.0831	-26359.7
0.0841	-26359.7
0.0851	-26359.7
0.0861	-26359.7
0.0871	-26359.7
0.0881	-26359.7
0.0891	-26359.7
0.0901	-26359.7
0.0911	-26359.7
0.0921	-26359.7
0.0931	-26359.7
0.0941	-26359.7
0.0951	-26359.7
0.0961	-26359.7
0.0971	-26359.7
0.0981	-26359.7
0.0991	-26359.7
0.1001	-26359.7
0.1011	-26359.7
0.1021	-26359.7
0.1031	-26359.7
0.1041	-26359.7
0.1051	-26359.7
0.1061	-26359.7
0.1071	-26359.7
0.1081	-26359.7
0.1091	-26359.7
0.1101	-26359.7
0.1111	-26359.7
0.1121	-26359.7
0.1131	-26359.7
0.1141	-26359.7
0.1151	-26359.7
0.1161	-26359.7
0.1171	-26359.7
0.1181	-26359.7
0.1191	-26359.7
0.1201	-26359.7
0.1211	-26359.7
0.1221	-26359.7
0.1231	-26359.7
0.1241	-26359.7
0.1251	-26359.7
0.1261	-26359.7
0.1271	-26359.7
0.1281	-26359.7
0.1291	-26359.7
0.1301	-26359.7
0.1311	-26359.7
